rad,dbSize,DiffCount,nQueries,nfound,radiusSum,Pivo,Partitio,CMT<nodesVisited>, Baseline<nodesVisited>, CMT<numDistanceCalls>,Baseline<numDistanceCalls>,btime,stime
1,100,0,10,10,1615.62,RAN,BOM,17,55,10,55,12,6
5,100,0,10,10,1615.62,RAN,BOM,69,89,52,89,12,13
10,100,0,10,10,1615.62,RAN,BOM,97,96,94,96,12,18
15,100,0,10,10,1615.62,RAN,BOM,99,97,99,97,13,18
20,100,0,10,54,1615.62,RAN,BOM,99,98,99,98,12,20
1,100,0,10,10,1615.62,RAN,BOM,17,55,10,55,12,5
5,100,0,10,10,1615.62,RAN,BOM,69,89,52,89,10,11
10,100,0,10,10,1615.62,RAN,BOM,97,96,94,96,10,15
15,100,0,10,10,1615.62,RAN,BOM,99,97,99,97,10,16
20,100,0,10,54,1615.62,RAN,BOM,99,98,99,98,13,17
1,100,0,10,10,78778.3,RAN,BOM,9,33,5,33,4,0
5,100,0,10,10,78778.3,RAN,BOM,10,34,5,34,4,0
10,100,0,10,10,78778.3,RAN,BOM,10,36,5,36,3,0
15,100,0,10,10,78778.3,RAN,BOM,12,38,6,38,4,0
20,100,0,10,10,78778.3,RAN,BOM,12,39,7,39,4,0
1,1000,0,20,20,662497,RAN,BOM,17,352,9,352,57,10
5,1000,0,20,20,662497,RAN,BOM,18,359,9,359,51,11
10,1000,0,20,20,662497,RAN,BOM,19,373,10,373,51,11
15,1000,0,20,20,662497,RAN,BOM,20,384,10,384,52,12
20,1000,0,20,20,662497,RAN,BOM,22,396,11,396,52,13
25,1000,0,20,20,662497,RAN,BOM,25,408,13,408,51,12
30,1000,0,20,20,662497,RAN,BOM,26,423,13,423,51,13
35,1000,0,20,20,662497,RAN,BOM,28,438,15,438,51,13
40,1000,0,20,20,662497,RAN,BOM,31,449,16,449,51,14
45,1000,0,20,20,662497,RAN,BOM,33,465,17,465,52,15
50,1000,0,20,20,662497,RAN,BOM,35,481,18,481,51,15
55,1000,0,20,20,662497,RAN,BOM,37,495,19,495,52,16
60,1000,0,20,20,662497,RAN,BOM,39,508,20,508,52,16
65,1000,0,20,20,662497,RAN,BOM,41,523,22,523,51,16
70,1000,0,20,20,662497,RAN,BOM,46,535,24,535,52,17
1,1000,0,20,20,662497,RAN,BOM,17,352,9,352,54,11
5,1000,0,20,20,662497,RAN,BOM,18,359,9,359,53,11
10,1000,0,20,20,662497,RAN,BOM,19,373,10,373,53,12
15,1000,0,20,20,662497,RAN,BOM,20,384,10,384,55,12
20,1000,0,20,20,662497,RAN,BOM,22,396,11,396,53,12
25,1000,0,20,20,662497,RAN,BOM,25,408,13,408,53,13
30,1000,0,20,20,662497,RAN,BOM,26,423,13,423,52,13
35,1000,0,20,20,662497,RAN,BOM,28,438,15,438,53,14
40,1000,0,20,20,662497,RAN,BOM,31,449,16,449,52,14
45,1000,0,20,20,662497,RAN,BOM,33,465,17,465,53,14
50,1000,0,20,20,662497,RAN,BOM,35,481,18,481,52,17
55,1000,0,20,20,662497,RAN,BOM,37,495,19,495,51,18
60,1000,0,20,20,662497,RAN,BOM,39,508,20,508,52,17
65,1000,0,20,20,662497,RAN,BOM,41,523,22,523,51,17
70,1000,0,20,20,662497,RAN,BOM,46,535,24,535,52,17
1,1000,0,20,20,662497,RAN,BOM,17,352,9,352,113,41
5,1000,0,20,20,662497,RAN,BOM,18,359,9,359,119,42
